trip_id,user_id,driver_id,fare,surge_multiplier,tip,payment_type,pickup_time,dropoff_time,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,weather,city,loyalty_status
T066468,R05030,D03970,23.39,1.3,1.42,Card,2024-12-08 23:34:36+02:27,2024-12-09 00:29:36+02:27,-1.351910388249434,36.676169853521515,-1.401868029858528,36.699018830729955,Rainy,Nairobi,Silver
T041539,R03969,D02461,27.25,1.1,0.0,Mobile Money,2024-10-07 16:17:04+02:27,2024-10-07 16:26:04+02:27,-1.2108687743875486,36.921478780783836,-1.1997937703746595,36.92327398549554,Rainy,Nairobi,Silver
T066263,R01074,D00259,6.51,1.0,0.0,Card,2025-01-28 23:05:49+02:27,2025-01-28 23:24:49+02:27,-1.2133063117831053,36.91217058638667,-1.2110315727844227,36.95716250995401,Rainy,Nairobi,Platinum
T176914,R08081,D00184,11.19,1.0,3.73,Card,2024-05-21 18:12:10+00:14,2024-05-21 19:11:10+00:14,6.383939303345125,3.220365035818561,6.369803307325255,3.240972059390921,Cloudy,Lagos,Silver
T040747,R05309,D03452,18.25,1.0,0.0,Card,2025-04-15 10:29:08+02:05,2025-04-15 11:26:08+02:05,30.052523118835282,31.337209797452743,30.09497092075112,31.316696098652752,Sunny,Cairo,Bronze
T173227,R09119,D01863,14.31,1.0,1.18,Card,2024-10-19 20:47:36+00:14,2024-10-19 21:40:36+00:14,6.366349312678979,3.5315896853083752,6.378400099374273,3.485130369221219,Cloudy,Lagos,Bronze
T114604,R06208,D00899,26.18,1.6,1.12,Card,2024-07-02 17:26:17+02:27,2024-07-02 18:02:17+02:27,-1.1207212783149694,36.93665476771272,-1.141171809996365,36.91925889604358,Sunny,Nairobi,Silver
T112314,R04369,D03574,17.01,1.3,0.0,Card,2025-04-04 18:53:53+00:14,2025-04-04 19:36:53+00:14,6.589861941128112,3.311000436249064,6.582730596121953,3.339215226333821,Sunny,Lagos,Silver
T099307,R01451,D02367,8.37,1.0,0.0,Card,2024-09-14 08:59:56+02:27,2024-09-14 09:43:56+02:27,-1.248818301649529,36.97287381367244,-1.2174646128376567,36.93197202970509,Cloudy,Nairobi,Bronze
T023003,R08996,D03358,8.96,1.0,0.22,Mobile Money,2025-04-13 09:46:28+02:05,2025-04-13 10:07:28+02:05,30.127231806867176,31.309082914241888,30.147958982792964,31.300339659269323,Sunny,Cairo,Bronze
T157912,R09624,D01594,25.54,1.0,0.0,Mobile Money,2024-05-05 03:49:46+02:27,2024-05-05 03:58:46+02:27,-1.6405593678099366,37.295545674414484,-1.612514534429273,37.27628870404804,Sunny,Nairobi,Bronze
T106132,R06272,D02860,11.45,1.0,0.55,Card,2024-10-14 20:27:08+02:27,2024-10-14 21:26:08+02:27,-1.1156413784623367,36.91463244719467,-1.1592907329798718,36.8714254131368,Foggy,Nairobi,Bronze
T184046,R09224,D02181,10.35,1.0,0.0,Mobile Money,2025-03-08 10:06:51+02:05,2025-03-08 10:53:51+02:05,29.948716385567398,31.37849266432126,29.927449521422492,31.35659323555077,Sunny,Cairo,Bronze
T079550,R01075,D02254,11.8,1.0,0.0,Mobile Money,2024-11-09 14:15:42+02:05,2024-11-09 14:42:42+02:05,30.068062100767637,31.11717705019397,30.11578483564671,31.142370511278262,Sunny,Cairo,Bronze
T018001,R08974,D04680,14.88,1.0,0.0,Card,2024-07-18 09:35:30+00:14,2024-07-18 10:06:30+00:14,6.337665060386073,3.301875346707982,6.3742130314968195,3.291612148812646,Sunny,Lagos,Bronze
T125861,R00667,D02858,10.01,1.0,0.0,Mobile Money,2024-12-17 19:21:15+00:14,2024-12-17 19:43:15+00:14,6.391426795840094,3.346364486134596,6.405745512175339,3.335860178415023,Cloudy,Lagos,Bronze
